text,label
FYI: Your account has suspicious login. click here and update CVV now 🙏,1
"FYI: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details.",1
Attention! நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது asap,0
CBI cyber complaint registered. settle immediately to avoid arrest ✅,1
Attention! a/c verification pending. confirm netbanking password now #update,1
Important: Exam timetable announced on portal asap,0
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ,1
"Dear customer, Income tax refund release: verify PAN and bank details now kindly respond",1
"plz আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে ✅",1
Important: Lab viva postponed to next Monday #update,0
Attention! Exam timetable announced on portal #update,0
"Attention! कल assignment submit करना है, भूलना मत 🙏",0
"plz Paytm security team se bol raha hu, account unlock ke liye OTP share karo",1
"Alert: कल assignment submit करना है, भूलना मत ✅",0
"Your order has been delivered, thank you for shopping. 🙏",0
FYI: நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது,0
Attention! Hostel maintenance visit tomorrow morning kindly respond,0
"Dear customer, మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి immediately",1
"আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন immediately",0
"Dear customer, Aadhaar PAN re-verify karo warna account freeze ho jayega.",1
"Dear customer, Seminar registration open on official college website immediately",0
Important: Income tax refund release: verify PAN and bank details now ✅,1
"plz మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి ✅",1
"कल assignment submit करना है, भूलना मत kindly respond",0
FYI: 24 ghante mein KYC नहीं किया तो card permanently blocked immediately,1
Attention! Your parcel out for delivery kindly respond,0
FYI: Exam timetable announced on portal 🙏,0
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ ✅,1
"Attention! మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి kindly respond",1
FYI: Exam timetable announced on portal ✅,0
Attention! CBI cyber complaint registered. settle immediately to avoid arrest immediately,1
"Attention! உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் kindly respond",1
"FYI: Your order has been delivered, thank you for shopping.",0
Attention! Please share PYQ pdf in class group 🙏,0
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked #update,1
plz Meeting notes attached in the shared drive.,0
"Attention! আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন।",1
plz రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది #update,0
FYI: a/c verification pending. confirm netbanking password now asap,1
plz CBI cyber complaint registered. settle immediately to avoid arrest,1
FYI: ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ ✅,1
"FYI: Class moved to 3 PM tomorrow, please attend on time. 🙏",0
"Alert: Get lottery prize ₹5 lakh now, pay registration fee first immediately",1
"Dear customer, ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏",1
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి immediately",1
"Dear customer, UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. ✅",1
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond,1
"Important: कल assignment submit करना है, भूलना मत",0
bank e-KYC link: fill card number and OTP to continue ✅,1
"Dear customer, Happy birthday! have a great day ahead 🙏",0
Attention! Dinner plan tonight? Let's meet near hostel gate. asap,0
plz Physics CAT prep session at 6 pm in SJT-308 immediately,0
"URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. asap",1
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి #update",1
Attention! Sarkari subsidy release ke liye processing fee bhejo,1
"Important: कल assignment submit करना है, भूलना मत 🙏",0
FYI: Sarkari subsidy release ke liye processing fee bhejo ✅,1
"Attention! আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0
Alert: Dinner plan tonight? Let's meet near hostel gate. #update,0
Attention! Document uploaded to Google Drive for project review immediately,0
"Dear customer, 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond",1
"Attention! আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে ✅",1
"Dear customer, Happy birthday! have a great day ahead #update",0
"कल assignment submit करना है, भूलना मत 🙏",0
Attention! Meeting notes attached in the shared drive.,0
"Dear customer, Your account has suspicious login. click here and update CVV now #update",1
plz a/c verification pending. confirm netbanking password now #update,1
Physics CAT prep session at 6 pm in SJT-308 immediately,0
"Dear customer, Your PhonePe wallet blocked. share mpin to reactivate",1
FYI: Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1
Important: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी 🙏,1
"Alert: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন ✅",0
Happy birthday! have a great day ahead ✅,0
plz Income tax refund release: verify PAN and bank details now kindly respond,1
"Attention! உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1
plz a/c verification pending. confirm netbanking password now asap,1
"FYI: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1
Important: Lab viva postponed to next Monday kindly respond,0
Important: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. immediately,1
Income tax refund release: verify PAN and bank details now ✅,1
"Dear customer, Meeting notes attached in the shared drive. ✅",0
plz 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond,1
FYI: a/c verification pending. confirm netbanking password now immediately,1
"Dear customer, Lab viva postponed to next Monday kindly respond",0
"Important: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details.",1
"Attention! আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে immediately",1
"Dear customer, రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది ✅",0
plz a/c verification pending. confirm netbanking password now ✅,1
Alert: Lunch done? meet at canteen ✅,0
"Important: আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। ✅",1
FYI: Your PhonePe wallet blocked. share mpin to reactivate,1
"Dear customer, Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. kindly respond",1
plz நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது ✅,0
Your account has suspicious login. click here and update CVV now asap,1
"Dear customer, Get lottery prize ₹5 lakh now, pay registration fee first 🙏",1
Important: Hostel maintenance visit tomorrow morning,0
"Dear customer, Seminar registration open on official college website ✅",0
Seminar registration open on official college website ✅,0
Alert: Physics CAT prep session at 6 pm in SJT-308 #update,0
"আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1
"Dear customer, Physics CAT prep session at 6 pm in SJT-308 asap",0
Attention! Your parcel out for delivery ✅,0
"Important: Paytm security team se bol raha hu, account unlock ke liye OTP share karo #update",1
Alert: Please share PYQ pdf in class group ✅,0
Attention! Income tax refund release: verify PAN and bank details now asap,1
Important: Aadhaar PAN re-verify karo warna account freeze ho jayega.,1
Alert: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी immediately,1
"Important: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1
FYI: Your account has suspicious login. click here and update CVV now #update,1
Important: Your account has suspicious login. click here and update CVV now,1
"Dear customer, Class moved to 3 PM tomorrow, please attend on time. immediately",0
plz Your PhonePe wallet blocked. share mpin to reactivate kindly respond,1
FYI: Cab details: driver number shared for pickup,0
plz CBI cyber complaint registered. settle immediately to avoid arrest 🙏,1
"Dear customer, Your order has been delivered, thank you for shopping.",0
Important: Income tax refund release: verify PAN and bank details now asap,1
plz Lunch done? meet at canteen,0
FYI: Your account has suspicious login. click here and update CVV now kindly respond,1
Alert: Physics CAT prep session at 6 pm in SJT-308 immediately,0
"Dear customer, Hostel maintenance visit tomorrow morning immediately",0
Attention! Your PhonePe wallet blocked. share mpin to reactivate #update,1
"Dear customer, 24 ghante mein KYC नहीं किया तो card permanently blocked asap",1
Important: Your account has suspicious login. click here and update CVV now immediately,1
Alert: Your PhonePe wallet blocked. share mpin to reactivate immediately,1
"Dear customer, Please share PYQ pdf in class group kindly respond",0
"plz Class moved to 3 PM tomorrow, please attend on time.",0
Meeting notes attached in the shared drive. kindly respond,0
"Attention! Get lottery prize ₹5 lakh now, pay registration fee first",1
"Dear customer, Your account has suspicious login. click here and update CVV now kindly respond",1
Attention! Seminar registration open on official college website asap,0
Important: Document uploaded to Google Drive for project review 🙏,0
"Attention! URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. 🙏",1
"FYI: Class moved to 3 PM tomorrow, please attend on time. ✅",0
"Dear customer, Document uploaded to Google Drive for project review ✅",0
"Dear customer, Income tax refund release: verify PAN and bank details now",1
plz Your PhonePe wallet blocked. share mpin to reactivate 🙏,1
Meeting notes attached in the shared drive.,0
plz రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది 🙏,0
FYI: Sarkari subsidy release ke liye processing fee bhejo asap,1
Hostel maintenance visit tomorrow morning asap,0
Alert: Hostel maintenance visit tomorrow morning #update,0
Important: Please share PYQ pdf in class group 🙏,0
"plz உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1
FYI: Bank statement downloaded successfully from official app. asap,0
Important: Lunch done? meet at canteen 🙏,0
Attention! Seminar registration open on official college website,0
"Your order has been delivered, thank you for shopping. #update",0
"plz আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন asap",0
"Paytm security team se bol raha hu, account unlock ke liye OTP share karo immediately",1
"Alert: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. kindly respond",1
"Attention! Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. kindly respond",1
"plz Paytm security team se bol raha hu, account unlock ke liye OTP share karo kindly respond",1
Alert: Document uploaded to Google Drive for project review #update,0
"Dear customer, আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। 🙏",1
Attention! Happy birthday! have a great day ahead immediately,0
"Dear customer, Paytm security team se bol raha hu, account unlock ke liye OTP share karo asap",1
Attention! Your account has suspicious login. click here and update CVV now 🙏,1
"plz আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন kindly respond",0
Attention! Seminar registration open on official college website 🙏,0
"plz Get lottery prize ₹5 lakh now, pay registration fee first 🙏",1
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి kindly respond",1
"Dear customer, 24 ghante mein KYC नहीं किया तो card permanently blocked 🙏",1
"Dear customer, మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి kindly respond",1
"Attention! Class moved to 3 PM tomorrow, please attend on time. 🙏",0
"Your order has been delivered, thank you for shopping. kindly respond",0
"Important: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন asap",0
Alert: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. 🙏,1
FYI: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond,1
Important: CBI cyber complaint registered. settle immediately to avoid arrest ✅,1
"Alert: Your order has been delivered, thank you for shopping. immediately",0
"Dear customer, 24 ghante mein KYC नहीं किया तो card permanently blocked",1
Attention! Dinner plan tonight? Let's meet near hostel gate. 🙏,0
Important: 24 ghante mein KYC नहीं किया तो card permanently blocked #update,1
"Important: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন 🙏",0
"Attention! Paytm security team se bol raha hu, account unlock ke liye OTP share karo #update",1
Important: Lunch done? meet at canteen #update,0
"FYI: कल assignment submit करना है, भूलना मत 🙏",0
FYI: Lunch done? meet at canteen ✅,0
"Dear customer, Lab viva postponed to next Monday asap",0
Attention! Meeting notes attached in the shared drive. kindly respond,0
Alert: Cab details: driver number shared for pickup kindly respond,0
Attention! UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. ✅,1
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked immediately,1
plz a/c verification pending. confirm netbanking password now kindly respond,1
Important: Dinner plan tonight? Let's meet near hostel gate. kindly respond,0
"Alert: আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1
Happy birthday! have a great day ahead #update,0
"Attention! உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1
Important: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी immediately,1
FYI: Dinner plan tonight? Let's meet near hostel gate. ✅,0
Physics CAT prep session at 6 pm in SJT-308 #update,0
Important: 24 ghante mein KYC नहीं किया तो card permanently blocked 🙏,1
Important: Sarkari subsidy release ke liye processing fee bhejo asap,1
"Get lottery prize ₹5 lakh now, pay registration fee first 🙏",1
Alert: Cab details: driver number shared for pickup,0
Bank statement downloaded successfully from official app.,0
plz Bank statement downloaded successfully from official app. asap,0
"Alert: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. asap",1
plz Dinner plan tonight? Let's meet near hostel gate. #update,0
plz ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏,1
FYI: Meeting notes attached in the shared drive. ✅,0
"Attention! URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. #update",1
Important: Physics CAT prep session at 6 pm in SJT-308 #update,0
plz Cab details: driver number shared for pickup #update,0
Alert: Hostel maintenance visit tomorrow morning kindly respond,0
"Attention! আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1
Alert: Bank statement downloaded successfully from official app. ✅,0
Important: CBI cyber complaint registered. settle immediately to avoid arrest asap,1
Attention! Exam timetable announced on portal,0
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి",1
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి kindly respond",1
Attention! Dinner plan tonight? Let's meet near hostel gate.,0
Alert: రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది immediately,0
FYI: Please share PYQ pdf in class group 🙏,0
Attention! पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी asap,1
நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது immediately,0
"Dear customer, Seminar registration open on official college website #update",0
"Dear customer, Get lottery prize ₹5 lakh now, pay registration fee first #update",1
"Dear customer, ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ kindly respond",1
"Important: আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1
Important: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. ✅,1
Alert: Your account has suspicious login. click here and update CVV now immediately,1
Attention! Physics CAT prep session at 6 pm in SJT-308 ✅,0
plz UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. ✅,1
"FYI: Your order has been delivered, thank you for shopping. #update",0
FYI: రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది immediately,0
"Dear customer, Happy birthday! have a great day ahead immediately",0
Alert: Hostel maintenance visit tomorrow morning ✅,0
पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी #update,1
Alert: Lab viva postponed to next Monday,0
Lab viva postponed to next Monday #update,0
"Important: URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. kindly respond",1
"Dear customer, Income tax refund release: verify PAN and bank details now immediately",1
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. immediately,1
Important: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. asap,1
plz bank e-KYC link: fill card number and OTP to continue #update,1
Important: 24 ghante mein KYC नहीं किया तो card permanently blocked ✅,1
"plz Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. immediately",1
Attention! पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी kindly respond,1
"plz Paytm security team se bol raha hu, account unlock ke liye OTP share karo #update",1
"Dear customer, UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond",1
Happy birthday! have a great day ahead immediately,0
Attention! Income tax refund release: verify PAN and bank details now ✅,1
"Dear customer, Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. ✅",1
"Alert: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి 🙏",1
plz Bank statement downloaded successfully from official app. #update,0
Alert: Lab viva postponed to next Monday kindly respond,0
Alert: Hostel maintenance visit tomorrow morning 🙏,0
Alert: Bank statement downloaded successfully from official app. kindly respond,0
plz Income tax refund release: verify PAN and bank details now,1
"Dear customer, Document uploaded to Google Drive for project review #update",0
FYI: Document uploaded to Google Drive for project review kindly respond,0
"Important: URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN.",1
plz Cab details: driver number shared for pickup 🙏,0
"Alert: Your order has been delivered, thank you for shopping. asap",0
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும்",1
FYI: Cab details: driver number shared for pickup ✅,0
"plz कल assignment submit करना है, भूलना मत ✅",0
"Dear customer, Aadhaar PAN re-verify karo warna account freeze ho jayega. immediately",1
Alert: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. asap,1
"Dear customer, Paytm security team se bol raha hu, account unlock ke liye OTP share karo ✅",1
Your account has suspicious login. click here and update CVV now,1
Attention! a/c verification pending. confirm netbanking password now,1
Alert: Bank statement downloaded successfully from official app. immediately,0
plz CBI cyber complaint registered. settle immediately to avoid arrest immediately,1
"plz URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. #update",1
Document uploaded to Google Drive for project review kindly respond,0
Attention! CBI cyber complaint registered. settle immediately to avoid arrest kindly respond,1
Alert: Meeting notes attached in the shared drive.,0
FYI: Dinner plan tonight? Let's meet near hostel gate. immediately,0
FYI: ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ,1
"Dear customer, Your PhonePe wallet blocked. share mpin to reactivate #update",1
FYI: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी asap,1
Important: Hostel maintenance visit tomorrow morning 🙏,0
